chrom	length	bases	mean	min	max
NC_069499.1	1601664463	4868439965	3.04	0	69715
NC_069500.1	1450603269	4255960903	2.93	0	38190
NC_069501.1	1296922325	3793003558	2.92	0	51764
NC_069502.1	1241340601	3805797270	3.07	0	6603
NC_069503.1	1167632593	3480981087	2.98	0	21565
NC_069504.1	1160268632	3509374215	3.02	0	49972
NC_069505.1	643478974	2265793264	3.52	0	17721
NC_069506.1	354776354	1078764982	3.04	0	2103
NC_069507.1	291274852	985186531	3.38	0	80718
NC_069508.1	220236004	655259368	2.98	0	11360
NC_069509.1	202747905	677985034	3.34	0	1642
NC_069510.1	161021261	557762065	3.46	0	1401
NW_026510679.1	63549	148307	2.33	0	183
NW_026510680.1	38495	22634	0.59	0	17
NW_026510681.1	57344	77914	1.36	0	48
NW_026510682.1	15133	44177	2.92	0	16
NW_026510683.1	49135	118433	2.41	0	38
NW_026510684.1	22809	1719448	75.38	0	1268
NW_026510685.1	265183	391835	1.48	0	34
NW_026510686.1	120394	175309	1.46	0	21
NW_026510687.1	69805	161586	2.31	0	47
NW_026510688.1	34150	91278	2.67	0	30
NW_026510689.1	37353	89690	2.40	0	77
NW_026510690.1	49924	75066	1.50	0	24
NW_026510691.1	522461	1637261	3.13	0	72
NW_026510692.1	60004	214032	3.57	0	116
NW_026510693.1	23712	31831	1.34	0	11
NW_026510694.1	41845	154851	3.70	0	46
NW_026510695.1	51795	88517	1.71	0	33
NW_026510696.1	10259	24895	2.43	0	10
NW_026510697.1	324224	583759	1.80	0	108
NW_026510698.1	36665	77276	2.11	0	18
NW_026510699.1	67933	68714	1.01	0	19
NW_026510700.1	23399	67479	2.88	0	30
NW_026510701.1	222590	422924	1.90	0	60
NW_026510702.1	127115	2084409	16.40	0	569
NW_026510703.1	23727	140070	5.90	0	112
NW_026510704.1	168684	361725	2.14	0	92
NW_026510705.1	46278	67290	1.45	0	16
NW_026510706.1	44876	157911	3.52	0	43
NW_026510707.1	49599	100106	2.02	0	34
NW_026510708.1	242248	480535	1.98	0	84
NW_026510709.1	210118	334859	1.59	0	18
NW_026510710.1	94221	268287	2.85	0	96
NW_026510711.1	50599	156013	3.08	0	49
NW_026510712.1	30948	121483	3.93	0	56
NW_026510713.1	53865	27249	0.51	0	9
NW_026510714.1	183455	253002	1.38	0	40
NW_026510715.1	58714	82898	1.41	0	13
NW_026510716.1	298630	935452	3.13	0	293
